# id lon1 lat1 dep1 lon2 lat2 dep2 lon3 lat3 dep3 mean_len_m area_m2 strike dip rake
1.000000 168.828733 -19.220055 -50.642538 168.813016 -19.177850 -50.891266 168.848238 -19.191050 -53.548298 4877.462228 10291052.448607 337.419968 41.280212 90.533109
1.000000 168.847076 -19.261862 -50.611012 168.828733 -19.220055 -50.642538 168.864181 -19.230943 -53.398266 4887.111583 10323453.503954 336.990680 41.331111 90.204914
1.000000 168.887232 -19.340866 -50.976405 168.866839 -19.302125 -50.742886 168.902346 -19.308167 -53.700272 4832.735855 10113131.385245 336.424329 41.528682 89.801146
1.000000 168.907363 -19.378702 -51.215096 168.887232 -19.340866 -50.976405 168.922710 -19.346104 -53.978760 4810.419063 10016389.923838 336.294301 41.704723 89.721971
1.000000 168.926959 -19.416317 -51.413300 168.907363 -19.378702 -51.215096 168.942840 -19.384214 -54.229814 4800.452894 9970201.087589 336.263868 41.942295 89.716572
1.000000 168.999887 -19.500082 -54.576655 168.964377 -19.492054 -51.617411 168.981442 -19.461204 -54.537653 4830.057404 10098790.821877 336.263245 42.413955 89.791986
1.000000 168.982328 -19.530285 -51.613525 168.964377 -19.492054 -51.617411 168.999887 -19.500082 -54.576655 4798.441985 9959633.977924 335.951500 42.532244 89.519823
1.000000 169.000085 -19.568880 -51.552221 168.982328 -19.530285 -51.613525 169.017802 -19.539176 -54.535992 4799.250850 9967005.732001 335.665218 42.692193 89.315556
1.000000 169.017802 -19.607871 -51.445839 169.000085 -19.568880 -51.552221 169.035407 -19.578382 -54.440672 4801.245975 9979221.881181 335.383722 42.885979 89.114965
1.000000 169.053973 -19.686551 -51.206859 169.035687 -19.647173 -51.319213 169.070716 -19.656690 -54.204091 4811.686284 10025183.211403 334.906007 43.340008 88.781222
1.000000 169.072889 -19.725878 -51.135449 169.053973 -19.686551 -51.206859 169.088922 -19.695613 -54.117085 4815.893229 10042753.618298 334.662295 43.558257 88.615147
1.000000 169.092607 -19.765128 -51.118922 169.072889 -19.725878 -51.135449 169.107779 -19.734254 -54.078367 4825.669149 10083195.979188 334.367667 43.735738 88.415554
1.000000 169.113220 -19.804083 -51.172554 169.092607 -19.765128 -51.118922 169.127481 -19.772505 -54.106689 4834.821616 10121365.245283 334.018409 43.854394 88.179879
1.000000 169.155715 -19.879626 -51.419544 169.134479 -19.842266 -51.292050 169.169477 -19.847688 -54.367970 4810.558283 10016945.851775 333.248524 43.940555 87.665280
1.000000 169.176283 -19.916465 -51.489154 169.155715 -19.879626 -51.419544 169.190830 -19.885110 -54.498597 4791.024439 9926630.578578 333.002346 43.984937 87.509602
1.000000 169.195981 -19.953355 -51.462012 169.176283 -19.916465 -51.489154 169.211594 -19.922817 -54.541555 4787.565594 9905445.737157 332.878068 44.028958 87.438962
1.000000 169.215042 -19.990872 -51.339324 169.195981 -19.953355 -51.462012 169.231388 -19.960974 -54.459970 4798.746239 9956579.669668 332.860402 44.056228 87.440273
1.000000 169.233843 -20.029008 -51.161261 169.215042 -19.990872 -51.339324 169.250475 -19.999423 -54.292332 4811.672462 10016950.148246 332.885366 44.055707 87.467904
1.000000 169.271800 -20.106319 -50.797536 169.252710 -20.067560 -50.971342 169.288057 -20.076536 -53.898810 4825.667812 10081811.023389 333.002023 44.052775 87.568273
1.000000 169.291108 -20.145003 -50.655204 169.271800 -20.106319 -50.797536 169.307104 -20.114979 -53.744338 4826.339807 10084624.906180 333.089649 44.084493 87.641703
1.000000 169.310565 -20.183515 -50.542121 169.291108 -20.145003 -50.655204 169.326345 -20.153334 -53.621729 4821.346522 10063294.777609 333.167369 44.139271 87.709688
1.000000 169.330090 -20.221829 -50.450166 169.310565 -20.183515 -50.542121 169.345739 -20.191618 -53.526007 4813.851335 10031229.522250 333.229038 44.226783 87.767927
1.000000 169.349503 -20.259964 -50.359616 169.330090 -20.221829 -50.450166 169.365222 -20.229850 -53.448848 4808.270491 10006211.065248 333.273574 44.348370 87.815219
1.000000 169.422301 -20.345059 -53.006156 169.387041 -20.335689 -50.060571 169.403726 -20.306492 -53.225692 4818.997899 10051029.167602 333.006590 44.517522 87.692304
1.000000 169.405324 -20.373704 -49.823396 169.387041 -20.335689 -50.060571 169.422301 -20.345059 -53.006156 4789.410598 9922547.456349 332.803988 44.611415 87.515686
1.000000 169.424100 -20.412472 -49.557083 169.405324 -20.373704 -49.823396 169.440456 -20.383758 -52.707396 4798.644599 9970124.112463 332.390055 44.690050 87.230059
1.000000 169.444156 -20.451977 -49.332249 169.424100 -20.412472 -49.557083 169.459016 -20.422282 -52.423329 4823.786916 10072716.769806 331.919721 44.822502 86.909799
1.000000 169.466292 -20.491644 -49.254432 169.444156 -20.451977 -49.332249 169.478899 -20.460252 -52.260973 4859.012299 10209905.576241 331.417518 44.999709 86.576551
1.000000 169.490752 -20.530115 -49.419780 169.466292 -20.491644 -49.254432 169.500926 -20.497160 -52.325119 4872.195619 10267107.619410 330.854169 45.194766 86.212340
1.000000 169.543485 -20.601861 -50.303745 169.516785 -20.566720 -49.799603 169.550528 -20.567450 -53.095656 4831.944649 10109391.541839 329.928514 45.780686 85.673147
1.000000 169.570004 -20.635811 -50.853286 169.543485 -20.601861 -50.303745 169.576782 -20.601512 -53.660805 4794.970179 9952855.326454 329.746131 46.171222 85.617669
1.000000 169.595165 -20.668938 -51.317124 169.570004 -20.635811 -50.853286 169.603086 -20.635451 -54.233229 4743.532661 9723500.615096 329.671006 46.565435 85.637130
1.000000 169.617783 -20.701614 -51.551037 169.595165 -20.668938 -51.317124 169.628567 -20.670105 -54.667862 4682.328165 9428243.930550 329.641939 46.871799 85.675926
1.000000 169.637763 -20.735112 -51.465497 169.617783 -20.701614 -51.551037 169.652066 -20.706127 -54.799131 4682.156884 9397049.913946 329.695452 47.032383 85.749989
1.000000 169.655548 -20.770576 -51.037749 169.637763 -20.735112 -51.465497 169.672359 -20.743738 -54.482828 4703.990320 9521444.227616 329.812379 46.980457 85.838653
1.000000 169.673606 -20.809080 -50.460275 169.655548 -20.770576 -51.037749 169.690310 -20.782128 -53.869221 4800.112121 9972736.496547 329.938838 46.743016 85.911857
1.000000 169.694622 -20.850106 -50.042370 169.673606 -20.809080 -50.460275 169.708381 -20.820527 -53.278810 4908.948154 10409978.632070 330.060604 46.462681 85.980502
1.000000 169.745942 -20.927492 -50.506736 169.719254 -20.890272 -50.064633 169.753377 -20.893345 -53.363013 4911.119987 10434330.601379 330.554512 46.510318 86.370997
1.000000 169.770340 -20.960141 -51.003935 169.745942 -20.927492 -50.506736 169.779306 -20.927503 -53.939766 4718.000076 9598896.932391 330.619253 46.694814 86.463261
1.000000 169.790928 -20.992515 -51.115010 169.770340 -20.960141 -51.003935 169.804260 -20.962430 -54.357251 4659.323650 9276788.609393 330.489195 46.768881 86.407640
1.000000 169.808682 -21.027001 -50.779900 169.790928 -20.992515 -51.115010 169.825505 -20.999549 -54.214415 4683.545499 9399688.521400 330.205613 46.649166 86.219003
1.000000 169.825337 -21.064178 -50.127407 169.808682 -21.027001 -50.779900 169.843156 -21.037967 -53.565819 4719.001820 9618068.577012 329.710711 46.346416 85.857577
1.000000 169.846559 -21.105797 -49.584905 169.825337 -21.064178 -50.127407 169.860543 -21.076388 -52.835773 4932.637809 10494415.642542 328.943897 46.055754 85.303181
1.000000 169.872817 -21.146387 -49.511439 169.846559 -21.105797 -49.584905 169.881192 -21.113666 -52.456369 4926.645159 10414425.476690 328.020641 45.970092 84.665704
1.000000 169.902866 -21.182459 -50.019823 169.872817 -21.146387 -49.511439 169.907296 -21.147818 -52.776884 4925.078270 10472342.370179 327.146169 46.193842 84.112991
1.000000 169.930946 -21.213077 -50.618772 169.902866 -21.182459 -50.019823 169.936232 -21.179551 -53.469634 4734.499723 9675930.048769 326.116357 46.480682 83.473984
1.000000 169.955156 -21.242848 -50.818461 169.930946 -21.213077 -50.618772 169.964972 -21.211608 -54.022089 4652.548130 9236682.346756 325.101683 46.707435 82.838621
1.000000 169.975963 -21.274811 -50.449590 169.955156 -21.242848 -50.818461 169.990324 -21.246307 -53.930677 4660.091046 9268031.968284 324.126267 46.711770 82.187797
1.000000 170.018945 -21.348064 -48.840320 169.995206 -21.309060 -49.674152 170.032038 -21.319513 -52.226823 4897.349869 10362108.226818 321.687790 46.207187 80.418223
1.000000 170.047226 -21.386508 -48.328430 170.018945 -21.348064 -48.840320 170.055120 -21.355087 -51.500092 4907.588922 10354084.674444 320.322842 46.021500 79.434680
1.000000 170.079795 -21.421393 -48.369645 170.047226 -21.386508 -48.328430 170.083137 -21.387928 -51.353873 4928.719235 10479626.413616 319.250044 46.031841 78.709646
1.000000 170.112918 -21.452165 -48.706176 170.079795 -21.421393 -48.369645 170.114277 -21.418189 -51.618419 4844.471510 10159807.611545 318.345973 46.147108 78.139880
1.000000 170.144320 -21.480834 -48.999696 170.112918 -21.452165 -48.706176 170.146504 -21.447362 -51.993754 4740.526743 9716144.210713 317.581348 46.267055 77.675454
1.000000 170.174277 -21.509625 -49.099565 170.144320 -21.480834 -48.999696 170.178308 -21.477033 -52.215501 4700.677445 9538671.439346 316.904657 46.312858 77.254650
1.000000 170.203711 -21.539438 -49.007589 170.174277 -21.509625 -49.099565 170.209222 -21.507570 -52.211636 4717.613469 9614601.054093 316.223640 46.261678 76.802604
1.000000 170.232996 -21.570093 -48.770461 170.203711 -21.539438 -49.007589 170.239451 -21.538658 -52.028850 4743.571027 9728801.125210 315.542823 46.126585 76.325134
1.000000 170.262958 -21.601508 -48.462729 170.232996 -21.570093 -48.770461 170.269285 -21.570003 -51.720655 4782.294254 9899186.143821 314.856676 45.920336 75.821557
1.000000 170.294838 -21.633427 -48.196918 170.262958 -21.601508 -48.462729 170.299397 -21.601097 -51.387711 4839.146819 10138545.953831 314.093874 45.666404 75.246708
1.000000 170.329871 -21.664853 -48.137435 170.294838 -21.633427 -48.196918 170.330840 -21.631077 -51.187379 4907.405178 10411412.623245 313.194886 45.417636 74.572351
1.000000 170.407107 -21.718586 -49.075493 170.368138 -21.693453 -48.477753 170.400613 -21.683565 -51.760410 4869.042480 10257961.640360 311.085069 45.167625 73.613883
1.000000 170.445595 -21.740872 -49.781516 170.407107 -21.718586 -49.075493 170.438054 -21.706109 -52.434348 4800.313493 9975418.123465 309.812747 45.096729 73.009679
1.000000 170.483072 -21.762146 -50.386606 170.445595 -21.740872 -49.781516 170.476099 -21.727743 -53.113814 4737.417357 9707009.403766 308.410639 44.972753 72.289487
1.000000 170.520116 -21.783632 -50.810397 170.483072 -21.762146 -50.386606 170.514202 -21.749587 -53.635245 4714.253617 9609097.102505 306.891076 44.749697 71.447013
