File,Mw,Lon,Lat,Depth
tamtam_nuevo.000208.log,7.0448,168.426068,-19.965469,10.01
tamtam_nuevo.000209.log,7.2201,167.833069,-16.471502,49.0
tamtam_nuevo.000210.log,7.3055,168.125642,-19.090855,13.53
tamtam_nuevo.000211.log,7.2456,167.680435,-18.142462,10.52
tamtam_nuevo.000212.log,7.2176,166.510577,-15.321844,8.71
tamtam_nuevo.000213.log,7.1175,167.71507,-18.984379,6.85
tamtam_nuevo.000214.log,7.1686,168.12954,-19.180336,12.57
tamtam_nuevo.000215.log,7.3455,167.262198,-17.246196,6.91
tamtam_nuevo.000216.log,7.3367,169.889439,-21.488135,30.46
tamtam_nuevo.000217.log,7.5942,168.845204,-20.584886,11.75
tamtam_nuevo.000218.log,7.3059,169.244349,-20.610593,26.53
tamtam_nuevo.000219.log,7.1325,170.011334,-21.568094,33.37
tamtam_nuevo.000220.log,7.4564,167.007802,-15.033919,30.38
tamtam_nuevo.000221.log,7.1667,169.416281,-21.522057,10.27
tamtam_nuevo.000222.log,7.0667,169.893249,-21.542695,27.72
tamtam_nuevo.000223.log,7.4949,169.949503,-21.589354,28.44
tamtam_nuevo.000224.log,7.3548,167.672536,-16.248278,43.49
tamtam_nuevo.000225.log,7.1938,167.762634,-16.235357,49.45
tamtam_nuevo.000226.log,7.5994,167.117134,-14.964985,38.14
tamtam_nuevo.000227.log,7.2319,167.62871,-15.699696,54.16
tamtam_nuevo.000228.log,7.2506,168.107338,-17.951978,33.5
tamtam_nuevo.000229.log,7.2855,167.516493,-16.548304,27.29
tamtam_nuevo.000230.log,7.0311,168.391707,-20.246707,7.21
tamtam_nuevo.000231.log,7.3932,167.284763,-15.291159,47.15
tamtam_nuevo.000232.log,6.9465,167.585715,-18.243149,8.42
tamtam_nuevo.000233.log,7.3155,169.098968,-21.180819,9.21
tamtam_nuevo.000234.log,7.6767,168.101006,-18.267324,25.35
tamtam_nuevo.000235.log,7.2202,168.205995,-17.632319,52.58
tamtam_nuevo.000236.log,7.1214,168.512074,-18.670492,43.54
tamtam_nuevo.000237.log,7.4937,167.487282,-17.499187,9.9
tamtam_nuevo.000238.log,7.3723,167.143927,-17.147261,6.57
tamtam_nuevo.000239.log,7.2205,169.775443,-21.506947,22.25
tamtam_nuevo.000240.log,7.1005,168.072357,-17.339081,47.46
tamtam_nuevo.000241.log,7.3984,167.832289,-18.738201,10.03
tamtam_nuevo.000242.log,7.3283,167.814035,-17.46701,22.59
tamtam_nuevo.000243.log,7.3738,167.656696,-18.001166,10.69
tamtam_nuevo.000244.log,7.4001,166.65765,-15.987614,8.18
tamtam_nuevo.000245.log,7.4057,168.845774,-20.00557,22.32
tamtam_nuevo.000246.log,7.0078,167.37484,-16.061691,30.91
tamtam_nuevo.000247.log,7.2999,166.935703,-15.014745,25.87
tamtam_nuevo.000248.log,7.4376,167.731281,-16.949519,29.02
tamtam_nuevo.000249.log,7.2852,169.8253,-21.127718,46.2
tamtam_nuevo.000250.log,7.097,168.683012,-20.464464,9.83
tamtam_nuevo.000251.log,7.4749,166.544903,-15.496747,9.05
tamtam_nuevo.000252.log,7.4761,166.659192,-14.437128,16.01
tamtam_nuevo.000253.log,7.4544,166.242516,-14.069,6.6
tamtam_nuevo.000254.log,7.4376,167.417185,-16.534804,22.16
